,Station,Arrive,Depart,Train,index
2090,戸塚,2021-11-30 08:22:00,2021-11-30 08:22:00,07-03-平塚-快速,10.5
30,大船,2021-11-30 08:28:00,2021-11-30 08:28:00,07-03-平塚-快速,11.0
2091,大船,2021-11-30 08:31:00,2021-11-30 08:31:00,07-03-平塚-快速,11.5
31,藤沢,2021-11-30 08:36:00,2021-11-30 08:36:00,07-03-平塚-快速,12.0
32,辻堂,2021-11-30 08:39:00,2021-11-30 08:39:00,07-03-平塚-快速,13.0
2092,辻堂,2021-11-30 08:40:00,2021-11-30 08:40:00,07-03-平塚-快速,13.5
33,茅ケ崎,2021-11-30 08:43:00,2021-11-30 08:43:00,07-03-平塚-快速,14.0
2093,茅ケ崎,2021-11-30 08:44:00,2021-11-30 08:44:00,07-03-平塚-快速,14.5
34,平塚,2021-11-30 08:49:00,,07-03-平塚-快速,15.0
297,大宮(埼玉),2021-11-30 07:08:00,2021-11-30 07:08:00,07-10-品川-普通,0.0
298,さいたま新都心,2021-11-30 07:12:00,2021-11-30 07:12:00,07-10-品川-普通,1.0
2241,さいたま新都心,2021-11-30 07:13:00,2021-11-30 07:13:00,07-10-品川-普通,1.5
299,浦和,2021-11-30 07:17:00,2021-11-30 07:17:00,07-10-品川-普通,2.0
300,赤羽,2021-11-30 07:26:00,2021-11-30 07:26:00,07-10-品川-普通,3.0
301,尾久,2021-11-30 07:31:00,2021-11-30 07:31:00,07-10-品川-普通,4.0
2242,尾久,2021-11-30 07:32:00,2021-11-30 07:32:00,07-10-品川-普通,4.5
302,上野,2021-11-30 07:38:00,2021-11-30 07:38:00,07-10-品川-普通,5.0
2243,上野,2021-11-30 07:39:00,2021-11-30 07:39:00,07-10-品川-普通,5.5
303,東京,2021-11-30 07:44:00,2021-11-30 07:44:00,07-10-品川-普通,6.0
2244,東京,2021-11-30 07:45:00,2021-11-30 07:45:00,07-10-品川-普通,6.5
304,新橋,2021-11-30 07:47:00,2021-11-30 07:47:00,07-10-品川-普通,7.0
2245,新橋,2021-11-30 07:48:00,2021-11-30 07:48:00,07-10-品川-普通,7.5
305,品川,2021-11-30 07:54:00,,07-10-品川-普通,8.0
780,大宮(埼玉),2021-11-30 07:14:00,2021-11-30 07:14:00,07-15-上野-普通,0.0
781,さいたま新都心,2021-11-30 07:17:00,2021-11-30 07:17:00,07-15-上野-普通,1.0
2501,さいたま新都心,2021-11-30 07:18:00,2021-11-30 07:18:00,07-15-上野-普通,1.5
782,浦和,2021-11-30 07:22:00,2021-11-30 07:22:00,07-15-上野-普通,2.0
783,赤羽,2021-11-30 07:31:00,2021-11-30 07:31:00,07-15-上野-普通,3.0
784,尾久,2021-11-30 07:36:00,2021-11-30 07:36:00,07-15-上野-普通,4.0
2502,尾久,2021-11-30 07:37:00,2021-11-30 07:37:00,07-15-上野-普通,4.5
