,Station,Arrive,Depart,Train,index,Station_sequence
2714,武蔵小杉,2021-11-30 09:02:00,2021-11-30 09:02:00,08-05-小田原-快速,8.5,川崎/武蔵小杉
1176,横浜,2021-11-30 09:13:00,2021-11-30 09:13:00,08-05-小田原-快速,9.0,横浜
2715,横浜,2021-11-30 09:14:00,2021-11-30 09:14:00,08-05-小田原-快速,9.5,横浜
1177,戸塚,2021-11-30 09:25:00,2021-11-30 09:25:00,08-05-小田原-快速,10.0,戸塚
2716,戸塚,2021-11-30 09:26:00,2021-11-30 09:26:00,08-05-小田原-快速,10.5,戸塚
1178,大船,2021-11-30 09:30:00,2021-11-30 09:30:00,08-05-小田原-快速,11.0,大船
2717,大船,2021-11-30 09:31:00,2021-11-30 09:31:00,08-05-小田原-快速,11.5,大船
1179,藤沢,2021-11-30 09:35:00,2021-11-30 09:35:00,08-05-小田原-快速,12.0,藤沢
1180,辻堂,2021-11-30 09:38:00,2021-11-30 09:38:00,08-05-小田原-快速,13.0,辻堂
2718,辻堂,2021-11-30 09:39:00,2021-11-30 09:39:00,08-05-小田原-快速,13.5,辻堂
1181,茅ケ崎,2021-11-30 09:42:00,2021-11-30 09:42:00,08-05-小田原-快速,14.0,茅ケ崎
1182,平塚,2021-11-30 09:47:00,2021-11-30 09:47:00,08-05-小田原-快速,15.0,平塚
2719,平塚,2021-11-30 09:51:00,2021-11-30 09:51:00,08-05-小田原-快速,15.5,平塚
1183,大磯,2021-11-30 09:55:00,2021-11-30 09:55:00,08-05-小田原-快速,16.0,大磯
1184,二宮,2021-11-30 09:59:00,2021-11-30 09:59:00,08-05-小田原-快速,17.0,二宮
2720,二宮,2021-11-30 10:00:00,2021-11-30 10:00:00,08-05-小田原-快速,17.5,二宮
1185,国府津,2021-11-30 10:03:00,2021-11-30 10:03:00,08-05-小田原-快速,18.0,国府津
2721,国府津,2021-11-30 10:04:00,2021-11-30 10:04:00,08-05-小田原-快速,18.5,国府津
1186,鴨宮,2021-11-30 10:07:00,2021-11-30 10:07:00,08-05-小田原-快速,19.0,鴨宮
2722,鴨宮,2021-11-30 10:08:00,2021-11-30 10:08:00,08-05-小田原-快速,19.5,鴨宮
1187,小田原,2021-11-30 10:11:00,,08-05-小田原-快速,20.0,小田原
826,大宮(埼玉),2021-11-30 08:25:00,2021-11-30 08:25:00,08-26-国府津-快速,0.0,大宮(埼玉)
827,浦和,2021-11-30 08:34:00,2021-11-30 08:34:00,08-26-国府津-快速,1.0,浦和
828,赤羽,2021-11-30 08:44:00,2021-11-30 08:44:00,08-26-国府津-快速,2.0,赤羽
829,池袋,2021-11-30 08:55:00,2021-11-30 08:55:00,08-26-国府津-快速,3.0,尾久/池袋
2520,池袋,2021-11-30 08:57:00,2021-11-30 08:57:00,08-26-国府津-快速,3.5,尾久/池袋
830,新宿,2021-11-30 09:02:00,2021-11-30 09:02:00,08-26-国府津-快速,4.0,上野/新宿
2521,新宿,2021-11-30 09:03:00,2021-11-30 09:03:00,08-26-国府津-快速,4.5,上野/新宿
831,渋谷,2021-11-30 09:08:00,2021-11-30 09:08:00,08-26-国府津-快速,5.0,東京/渋谷
2522,渋谷,2021-11-30 09:09:00,2021-11-30 09:09:00,08-26-国府津-快速,5.5,東京/渋谷
832,恵比寿,2021-11-30 09:11:00,2021-11-30 09:11:00,08-26-国府津-快速,6.0,新橋/恵比寿
2523,恵比寿,2021-11-30 09:12:00,2021-11-30 09:12:00,08-26-国府津-快速,6.5,新橋/恵比寿
833,大崎,2021-11-30 09:15:00,2021-11-30 09:15:00,08-26-国府津-快速,7.0,品川/大崎
2524,大崎,2021-11-30 09:16:00,2021-11-30 09:16:00,08-26-国府津-快速,7.5,品川/大崎
834,武蔵小杉,2021-11-30 09:26:00,2021-11-30 09:26:00,08-26-国府津-快速,8.0,川崎/武蔵小杉
835,横浜,2021-11-30 09:38:00,2021-11-30 09:38:00,08-26-国府津-快速,9.0,横浜
836,戸塚,2021-11-30 09:49:00,2021-11-30 09:49:00,08-26-国府津-快速,10.0,戸塚
2525,戸塚,2021-11-30 09:50:00,2021-11-30 09:50:00,08-26-国府津-快速,10.5,戸塚
837,大船,2021-11-30 09:55:00,2021-11-30 09:55:00,08-26-国府津-快速,11.0,大船
838,藤沢,2021-11-30 09:59:00,2021-11-30 09:59:00,08-26-国府津-快速,12.0,藤沢
2526,藤沢,2021-11-30 10:00:00,2021-11-30 10:00:00,08-26-国府津-快速,12.5,藤沢
839,辻堂,2021-11-30 10:03:00,2021-11-30 10:03:00,08-26-国府津-快速,13.0,辻堂
840,茅ケ崎,2021-11-30 10:06:00,2021-11-30 10:06:00,08-26-国府津-快速,14.0,茅ケ崎
2527,茅ケ崎,2021-11-30 10:07:00,2021-11-30 10:07:00,08-26-国府津-快速,14.5,茅ケ崎
841,平塚,2021-11-30 10:11:00,2021-11-30 10:11:00,08-26-国府津-快速,15.0,平塚
842,大磯,2021-11-30 10:14:00,2021-11-30 10:14:00,08-26-国府津-快速,16.0,大磯
2528,大磯,2021-11-30 10:15:00,2021-11-30 10:15:00,08-26-国府津-快速,16.5,大磯
843,二宮,2021-11-30 10:19:00,2021-11-30 10:19:00,08-26-国府津-快速,17.0,二宮
844,国府津,2021-11-30 10:23:00,,08-26-国府津-快速,18.0,国府津
628,大宮(埼玉),2021-11-30 08:56:00,2021-11-30 08:56:00,08-57-国府津-快速,0.0,大宮(埼玉)
629,浦和,2021-11-30 09:03:00,2021-11-30 09:03:00,08-57-国府津-快速,1.0,浦和
2417,浦和,2021-11-30 09:04:00,2021-11-30 09:04:00,08-57-国府津-快速,1.5,浦和
630,赤羽,2021-11-30 09:13:00,2021-11-30 09:13:00,08-57-国府津-快速,2.0,赤羽
631,池袋,2021-11-30 09:23:00,2021-11-30 09:23:00,08-57-国府津-快速,3.0,尾久/池袋
2418,池袋,2021-11-30 09:24:00,2021-11-30 09:24:00,08-57-国府津-快速,3.5,尾久/池袋
632,新宿,2021-11-30 09:29:00,2021-11-30 09:29:00,08-57-国府津-快速,4.0,上野/新宿
2419,新宿,2021-11-30 09:30:00,2021-11-30 09:30:00,08-57-国府津-快速,4.5,上野/新宿
633,渋谷,2021-11-30 09:35:00,2021-11-30 09:35:00,08-57-国府津-快速,5.0,東京/渋谷
2420,渋谷,2021-11-30 09:36:00,2021-11-30 09:36:00,08-57-国府津-快速,5.5,東京/渋谷
634,恵比寿,2021-11-30 09:38:00,2021-11-30 09:38:00,08-57-国府津-快速,6.0,新橋/恵比寿
635,大崎,2021-11-30 09:42:00,2021-11-30 09:42:00,08-57-国府津-快速,7.0,品川/大崎
636,武蔵小杉,2021-11-30 09:54:00,2021-11-30 09:54:00,08-57-国府津-快速,8.0,川崎/武蔵小杉
637,横浜,2021-11-30 10:05:00,2021-11-30 10:05:00,08-57-国府津-快速,9.0,横浜
638,戸塚,2021-11-30 10:15:00,2021-11-30 10:15:00,08-57-国府津-快速,10.0,戸塚
2421,戸塚,2021-11-30 10:16:00,2021-11-30 10:16:00,08-57-国府津-快速,10.5,戸塚
639,大船,2021-11-30 10:21:00,2021-11-30 10:21:00,08-57-国府津-快速,11.0,大船
2422,大船,2021-11-30 10:22:00,2021-11-30 10:22:00,08-57-国府津-快速,11.5,大船
640,藤沢,2021-11-30 10:26:00,2021-11-30 10:26:00,08-57-国府津-快速,12.0,藤沢
641,辻堂,2021-11-30 10:29:00,2021-11-30 10:29:00,08-57-国府津-快速,13.0,辻堂
2423,辻堂,2021-11-30 10:30:00,2021-11-30 10:30:00,08-57-国府津-快速,13.5,辻堂
642,茅ケ崎,2021-11-30 10:33:00,2021-11-30 10:33:00,08-57-国府津-快速,14.0,茅ケ崎
643,平塚,2021-11-30 10:38:00,2021-11-30 10:38:00,08-57-国府津-快速,15.0,平塚
2424,平塚,2021-11-30 10:39:00,2021-11-30 10:39:00,08-57-国府津-快速,15.5,平塚
644,大磯,2021-11-30 10:42:00,2021-11-30 10:42:00,08-57-国府津-快速,16.0,大磯
645,二宮,2021-11-30 10:46:00,2021-11-30 10:46:00,08-57-国府津-快速,17.0,二宮
2425,二宮,2021-11-30 10:47:00,2021-11-30 10:47:00,08-57-国府津-快速,17.5,二宮
646,国府津,2021-11-30 10:52:00,,08-57-国府津-快速,18.0,国府津
1425,大宮(埼玉),2021-11-30 09:23:00,2021-11-30 09:23:00,09-24-小田原-快速,0.0,大宮(埼玉)
1426,浦和,2021-11-30 09:30:00,2021-11-30 09:30:00,09-24-小田原-快速,1.0,浦和
2849,浦和,2021-11-30 09:31:00,2021-11-30 09:31:00,09-24-小田原-快速,1.5,浦和
1427,赤羽,2021-11-30 09:39:00,2021-11-30 09:39:00,09-24-小田原-快速,2.0,赤羽
2850,赤羽,2021-11-30 09:40:00,2021-11-30 09:40:00,09-24-小田原-快速,2.5,赤羽
1428,池袋,2021-11-30 09:52:00,2021-11-30 09:52:00,09-24-小田原-快速,3.0,尾久/池袋
2851,池袋,2021-11-30 09:53:00,2021-11-30 09:53:00,09-24-小田原-快速,3.5,尾久/池袋
1429,新宿,2021-11-30 09:58:00,2021-11-30 09:58:00,09-24-小田原-快速,4.0,上野/新宿
2852,新宿,2021-11-30 10:00:00,2021-11-30 10:00:00,09-24-小田原-快速,4.5,上野/新宿
1430,渋谷,2021-11-30 10:04:00,2021-11-30 10:04:00,09-24-小田原-快速,5.0,東京/渋谷
2853,渋谷,2021-11-30 10:05:00,2021-11-30 10:05:00,09-24-小田原-快速,5.5,東京/渋谷
1431,恵比寿,2021-11-30 10:07:00,2021-11-30 10:07:00,09-24-小田原-快速,6.0,新橋/恵比寿
2854,恵比寿,2021-11-30 10:08:00,2021-11-30 10:08:00,09-24-小田原-快速,6.5,新橋/恵比寿
1432,大崎,2021-11-30 10:12:00,2021-11-30 10:12:00,09-24-小田原-快速,7.0,品川/大崎
1433,武蔵小杉,2021-11-30 10:20:00,2021-11-30 10:20:00,09-24-小田原-快速,8.0,川崎/武蔵小杉
2855,武蔵小杉,2021-11-30 10:21:00,2021-11-30 10:21:00,09-24-小田原-快速,8.5,川崎/武蔵小杉
1434,横浜,2021-11-30 10:31:00,2021-11-30 10:31:00,09-24-小田原-快速,9.0,横浜
